id,japanese_sentence,question_type,difficulty_level
1,私はりんごを食べます,food,N5
2,猫がいます,nature,N5
3,今、三時です,time,N5
4,これは机です,household,N5
5,学校に行きます,school,N5
6,本を読みます,hobby,N5
7,水を飲みます,health,N5
8,今日は暑いです,weather,N5
9,母です,family,N5
10,電車で来ます,transportation,N5
11,あの店で買います,shopping,N5
12,嬉しいです,emotion,N5
13,ペンを使います,school,N5
14,ご飯を炊きます,food,N5
15,花が咲きます,nature,N5
16,昨日、休みました,work,N5
17,図書館で勉強します,school,N5
18,財布を忘れました,shopping,N5
19,頭が痛いです,health,N5
20,テレビを見ます,hobby,N5
21,私は毎朝パンを食べます,food,N4
22,庭に犬が二匹います,nature,N4
23,会議は一時からです,time,N4
24,新しい冷蔵庫を買いました,household,N4
25,日本語の授業が好きです,school,N4
26,来週、旅行に行きます,travel,N4
27,スーパーで野菜を買います,shopping,N4
28,毎日運動しています,health,N4
29,明日は雨が降るでしょう,weather,N4
30,姉と買い物に行きます,family,N4
31,自転車で通勤します,transportation,N4
32,音楽を聴くのが趣味です,hobby,N4
33,そのニュースに驚きました,emotion,N4
34,携帯電話を探しています,technology,N4
35,コーヒーを飲みたいです,food,N4
36,公園で子供が遊んでいます,nature,N4
37,晩ご飯を作りました,food,N4
38,テストが終わって安心しました,school,N4
39,仕事が忙しいです,work,N4
40,風邪を引いたので休みます,health,N4
41,このレストランの料理はとても美味しいです,food,N3
42,森林浴をすると気分がリフレッシュします,nature,N3
43,彼は会議に十分遅れて到着しました,time,N3
44,電子レンジが突然故障してしまいました,household,N3
45,留学するために必要な書類を準備中です,school,N3
46,プロジェクトの締め切りに間に合うか心配です,work,N3
47,海外旅行にはパスポートが必要です,travel,N3
48,ネットショッピングは便利ですが、使いすぎに注意です,shopping,N3
49,健康診断の結果を少し気にしています,health,N3
50,夕方から天気が崩れるかもしれません,weather,N3
51,家族で温泉に行く計画を立てています,family,N3
52,通勤ラッシュを避けるために早出しています,transportation,N3
53,写真を撮ることが私の生き甲斐です,hobby,N3
54,彼の優しい言葉に感動して泣きそうでした,emotion,N3
55,新しいスマートフォンの機能にまだ慣れません,technology,N3
56,このソファはとても座り心地が良いです,household,N3
57,会議の議事録を取る役割を任されました,work,N3
58,駅までの道順を教えていただけませんか,transportation,N3
59,ジョギングを始めてから体調が良くなりました,health,N3
60,子供の頃の思い出が蘇って懐かしいです,emotion,N3
61,この地域では、冬になると非常に厳しい寒さが訪れることで知られています,weather,N2
62,会議の進行役を務めるにあたり、十分な準備が必要不可欠だと痛感しました,work,N2
63,彼女の提案は、当初単純に見えたが、実は極めて革新的なものであった,technology,N2
64,その複雑な機械の操作を習得するには、ある程度の訓練が不可欠であろう,technology,N2
65,経済情勢の変化を敏感に察知し、迅速に対応することが我々の課題です,work,N2
66,彼の作品には、自然の美しさと人間の情感が見事に調和している,nature,N2
67,この新しい政策が社会全体に与える影響については、慎重に見極める必要がある,work,N2
68,長時間にわたる議論の末、ようやく合意に達することができた,work,N2
69,その知らせを聞いた瞬間、私は言葉を失うほど驚き、そして深く悲しんだ,emotion,N2
70,異なる文化背景を持つ人々との交流は、自身の視野を広げる貴重な機会である,travel,N2
71,彼の説明はあまりにも抽象的で、具体的なイメージが全く湧いてこなかった,school,N2
72,この計画の成功は、関係者全員の不断の努力と協力に懸かっている,work,N2
73,その事件の背景には、より複雑な人間関係が潜んでいると推測される,emotion,N2
74,最新の研究結果が、従来の理論を根本から覆す可能性を示唆している,technology,N2
75,彼女は、日々の小さな幸せを見つけることの大切さをいつも語っている,emotion,N2
76,この地域の伝統文化を次の世代に継承していくことは我々の使命だ,hobby,N2
77,緊急事態発生時には、落ち着いて適切な行動を取ることが何よりも重要だ,health,N2
78,彼の意見には一理あるが、現実的な実行可能性について疑問が残る,work,N2
79,その小説の結末は、読者に深い感動とともに大きな余韻を残した,hobby,N2
80,環境問題への取り組みは、今や企業にとって必須の社会的責任である,nature,N2
81,人工知能の急速な発展は、我々の生活様式を根本から変容させつつある,technology,N1
82,彼の提唱する理論は、従来の学問の枠組みを超越した独創性に満ちている,technology,N1
83,国際的な政治情勢の微妙な変化が、世界経済に与える影響は計り知れない,work,N1
84,その画家の作品群は、単なる美的価値を超え、時代の精神を反映している,hobby,N1
85,複雑化する現代社会において、個人のアイデンティティの確立は困難を極める,emotion,N1
86,この発見が、今後数十年の科学技術の進路を決定付ける可能性すらある,technology,N1
87,彼の弁舌はさることながら、その深い洞察力には常々感嘆させられる,work,N1
88,法律の解釈を巡る議論は、時に極めて哲学的で抽象的な次元に及ぶ,work,N1
89,長年にわたる民俗調査に基づき、彼は独自の文化理論を構築した,travel,N1
90,経済的豊かさと精神的充足のバランスを如何に取るかが現代人の課題だ,emotion,N1
91,その政策の実施に当たっては、様々な利害関係者の調整が不可欠であった,work,N1
92,彼女の演奏には、技術的な完璧さを超えた何かしらの魂の響きを感じた,hobby,N1
93,気候変動に対する効果的な対策を講じることは、我々世代の責務である,nature,N1
94,言語の微妙なニュアンスを正確に理解し、使い分けることは至難の業だ,school,N1
95,先端技術の開発と、それに伴う倫理的問題の検討は常に並行して進めるべきだ,technology,N1
96,歴史上の人物の判断を、現代の価値観のみで安易に批判することは避けるべきだ,time,N1
97,その小説が描く人間の心理描写は、読む者に深い共感と示唆を与える,hobby,N1
98,市場のグローバル化が進む中、企業は不断の革新を迫られている,work,N1
99,伝統的な慣習と現代的な価値観の狭間で、社会は常に変容を続けている,family,N1
100,個人のプライバシー保護と情報の利便性の両立は、情報社会の中心的課題だ,technology,N1
101,彼は本を読む,school,N5
102,魚を食べます,food,N5
103,山が高い,nature,N5
104,九時です,time,N5
105,いすがあります,household,N5
106,仕事します,work,N5
107,海に行く,travel,N5
108,店が安い,shopping,N5
109,元気です,health,N5
110,寒い日,weather,N5
111,父と話す,family,N5
112,バスに乗る,transportation,N5
113,歌が好き,hobby,N5
114,楽しいです,emotion,N5
115,電話する,technology,N5
116,新聞を読む,school,N5
117,茶を飲む,food,N5
118,川がきれい,nature,N5
119,月曜日,time,N5
120,窓を開ける,household,N5
121,私は毎日コーヒーを飲みます,food,N4
122,猫がソファで寝ています,household,N4
123,来月、友達と京都へ行きます,travel,N4
124,このパソコンは操作が簡単です,technology,N4
125,昨日、デパートで靴を買いました,shopping,N4
126,薬を飲んで休んでください,health,N4
127,夕方から雪が降るそうです,weather,N4
128,弟とゲームをしました,family,N4
129,駅まで歩いて行きます,transportation,N4
130,写真を撮るのが趣味です,hobby,N4
131,試験に合格して嬉しいです,emotion,N4
132,新しいアプリをダウンロードしました,technology,N4
133,食堂で昼ご飯を食べます,food,N4
134,公園の桜がとてもきれいです,nature,N4
135,会議は三時半に始まります,time,N4
136,台所を掃除しました,household,N4
137,数学の宿題をしています,school,N4
138,来週の予定を確認します,work,N4
139,歯医者に予約を入れました,health,N4
140,母の手料理が恋しい,emotion,N4
141,このソフトウェアは業務の効率化に大きく貢献しています,technology,N3
142,森林保護の重要性が近年特に注目されるようになりました,nature,N3
143,彼の時間管理の能力は本当に見習うべき点が多い,time,N3
144,家電量販店で最新モデルの掃除機を購入する予定です,household,N3
145,大学の講義は専門的な内容が多くて非常に刺激的です,school,N3
146,プロジェクトの進行状況を定期的に報告する必要があります,work,N3
147,海外出張の前にビザの申請を済ませておかねばならない,travel,N3
148,オンラインショッピングの利用が生活の一部になっています,shopping,N3
149,健康維持のために栄養バランスに気をつけています,health,N3
150,気象庁の予報によると、週明けに台風が接近する見込みです,weather,N3
151,家族会議で今後のことを話し合うことになりました,family,N3
152,通勤途中の電車内で読書をするのが日課です,transportation,N3
153,ガーデニングを通じて季節の変化を感じることができます,hobby,N3
154,彼の突然の辞職表明に複雑な思いを抱いている,emotion,N3
155,スマートフォンの電池の減りが早くて困っています,technology,N3
156,この地域の伝統工芸品は海外でも高い評価を受けています,hobby,N3
157,仕事とプライベートのバランスをどう保つかが重要だ,work,N3
158,新しい職場の人間関係に少し緊張している,emotion,N3
159,ジムに通い始めてから体力がついたように感じます,health,N3
160,子供の教育方針について夫婦で意見が食い違っている,family,N3
161,国際情勢の不安定さが為替相場に直接的な影響を与えている,work,N2
162,彼の研究は従来の学術的枠組みを超越した独創的なものとして評価されている,technology,N2
163,環境問題に対する企業の社会的責任がますます問われる時代となった,nature,N2
164,多様な価値観を理解し受け入れることの重要性が叫ばれている,emotion,N2
165,この文学作品が描く人間の心理描写は実に繊細かつ深みがある,hobby,N2
166,法律の改正に伴い、事業運営の在り方も見直しを迫られている,work,N2
167,先端技術の開発と倫理的観点からの検討は常に並行して進められるべきだ,technology,N2
168,経済的豊かさと精神的充足の両立を図ることは現代社会の課題である,emotion,N2
169,彼女の提案した企画は従来の発想を覆す画期的な内容であった,work,N2
170,異文化コミュニケーションにおける言語以外の要素の重要性を痛感した,travel,N2
171,この政策の実施によって生じる様々な影響を慎重に分析する必要がある,work,N2
172,長年にわたる彼の業績がこうして認められることは誠に喜ばしい,emotion,N2
173,自然災害に対する防災意識を常日頃から高めておくことが肝要だ,weather,N2
174,伝統的な価値観と現代的な考え方の調和を如何に図るかが問われる,family,N2
175,市場の競争が激化する中で、独自性を如何に打ち出すかが鍵となる,work,N2
176,彼の語学力はビジネスの場でも十分に通用する水準に達している,school,N2
177,この発明がもたらした社会的インパクトは計り知れないものがある,technology,N2
178,個人情報の保護と利便性の向上は両立し得る課題である,technology,N2
179,芸術活動を通じて自己表現することの意義を再認識した,hobby,N2
180,組織の長期的な発展のためには人材育成が不可欠である,work,N2
181,量子コンピューティングの進展が従来の暗号技術に与える影響は極めて甚大である,technology,N1
182,彼の哲学的考察は現代社会が抱える根本的な問題を浮き彫りにしている,emotion,N1
183,国際的な経済協力の枠組みを如何に構築するかが今後の課題となる,work,N1
184,この小説が描く人間の内面の葛藤は読む者に深い思索を促す,hobby,N1
185,気候変動に対する適応策を講じることはもはや待ったなしの状況である,nature,N1
186,先人の積み重ねた知恵を如何に現代に活かすかが我々の使命である,time,N1
187,多元的な価値観が共存する社会の構築に向けた地道な努力が続けられている,emotion,N1
188,この発見が従来のパラダイムを転換する契機となる可能性を秘めている,technology,N1
189,言語の本質を探求することは即ち人間の思考の根源に迫ることである,school,N1
190,経済的効率性と社会的公平性の両立を図る政策的アプローチが模索されている,work,N1
191,彼の提唱する理論は従来の学問的常識を根底から問い直すものである,technology,N1
192,文化的遺産を保存し次世代に伝えることの重要性が再認識されている,hobby,N1
193,複雑化する国際情勢の中で中立的な立場を維持することの難しさを痛感する,work,N1
194,人間の認知機能のメカニズムを解明する研究が着実に進展している,technology,N1
195,伝統的な社会構造が急速に変化する中で新たな人間関係の構築が迫られている,family,N1
196,芸術的創造性と科学的論理性の融合が新たな価値を生み出す源泉となる,hobby,N1
197,地球規模の課題解決に向けた国際的連携の強化が急務となっている,work,N1
198,情報化社会の進展に伴って個人のプライバシー概念も変容を余儀なくされている,technology,N1
199,歴史的観点から現代社会が直面する諸問題を相対化する視点が求められている,time,N1
200,持続可能な社会の実現に向けて多角的なアプローチから検討を重ねている,nature,N1
